"n" "m" "cc" "pl" "mod" "diam" "alpha"
"28" 500 5000 0.152687072153592 2.51322645290581 0.31839128 5 1.83154444682105
"29" 500 5000 0.154137478978243 2.51672144288577 0.33139552 5 1.81107059806436
"30" 500 5000 0.153550106402934 2.50863326653307 0.31246926 5 1.81919462728897
"31" 500 5000 0.16123771749195 2.53239278557114 0.38684 5 1.82553901233989
"32" 500 5000 0.162634660665541 2.54530661322645 0.38355826 5 1.80528165447725
"33" 500 5000 0.166277577975477 2.55357114228457 0.40330652 5 1.81559835650117
"34" 500 5000 0.171264343703455 2.55575150300601 0.42432014 5 1.8167787738125
"35" 500 5000 0.168608421008597 2.55240080160321 0.4177095 5 1.81189693592862
"36" 500 5000 0.166804396330882 2.55445290581162 0.40547098 5 1.81196257435305
"37" 500 5000 0.1623767836217 2.55172745490982 0.37256358 5 1.80686543724842
"38" 500 5000 0.159935379644588 2.54492184368737 0.40287842 5 1.81634152919905
"39" 500 5000 0.1680906556345 2.55527054108216 0.39222086 5 1.82415824288038
"40" 500 5000 0.163840540597377 2.55551102204409 0.40155926 5 1.81999037330032
"41" 500 2000 0.0983110380390105 3.3056753507014 0.376335375 8 2.43671515320527
"42" 500 2000 0.101924873855354 3.33216032064128 0.39029775 8 2.44120961923803
"43" 500 2000 0.0944872915162798 3.32926653306613 0.383827875 9 2.39255010542084
"44" 500 2000 0.0998995423596384 3.26917034068136 0.395908375 7 2.45631855734093
"45" 500 2000 0.100760955129887 3.30350300601202 0.371397 7 2.37965371929933
"46" 500 2000 0.102371181030552 3.31175951903808 0.41281975 7 2.3686545276513
"47" 500 2000 0.104461247637051 3.35070140280561 0.3789925 8 2.36839356574468
"48" 500 2000 0.104553314121037 3.30760721442886 0.388954625 7 2.42515787609014
"49" 500 2000 0.100399036289715 3.2965370741483 0.370157875 7 2.43165874993144
"50" 500 2000 0.0982018844551222 3.28746440364442 0.377841125 7 2.40352905274688
"51" 500 2000 0.108516159471573 3.34340681362725 0.468576125 7 2.40867159495267
"52" 500 2000 0.111140186915888 3.34968336673347 0.452453125 8 2.45640666738672
"53" 500 2000 0.115743905217589 3.33965118993006 0.478902125 7 2.40909954316237
"54" 500 2000 0.107957935560859 3.27008416833667 0.4827165 8 2.43710467844937
"55" 500 2000 0.110669368095111 3.33278557114228 0.46028875 8 2.36262942091504
"56" 500 2000 0.109184472536078 3.32937074148297 0.476991 7 2.36488637078312
"57" 500 2000 0.101821101419656 3.30593987975952 0.43779025 8 2.34843881506776
"58" 500 2000 0.116191680928641 3.34190781563126 0.482768375 8 2.38171333674969
"59" 500 2000 0.107321320411872 3.34465731462926 0.468520625 8 2.40862253439846
"60" 500 2000 0.11059959160943 3.29964729458918 0.469901625 7 2.48515494309737
"61" 500 2000 0.109255962976148 3.29654509018036 0.361426875 8 2.39371588709646
"62" 500 2000 0.100435607391274 3.31053306613226 0.321469625 9 2.34328084585814
"63" 500 2000 0.0980911983032874 3.26145891783567 0.3124165 7 2.4436177129087
"64" 500 2000 0.10734504282189 3.31494188376754 0.3487435 8 2.40531219467164
"65" 500 2000 0.109336781046894 3.29302605210421 0.365805125 8 2.38678240602757
"66" 500 2000 0.108359360646702 3.2878475673317 0.3605065 7 2.40553777941877
"67" 500 2000 0.0989831241886629 3.29797995991984 0.344344375 7 2.38189883059236
"68" 500 2000 0.102213931223822 3.23937835510378 0.3373155 7 2.40522156879808
"69" 500 2000 0.100249157262201 3.31239990020201 0.37163525 7 2.38069331244302
"70" 500 2000 0.0986750473197386 3.30877819896822 0.312305875 8 2.368341843061
"71" 500 2000 0.114850448854716 3.40408817635271 0.4385475 8 2.48878514173169
"72" 500 2000 0.0982630875743957 3.38415787398089 0.43455275 7 2.46495970886717
"73" 500 2000 0.107965562708446 3.39324248496994 0.421072375 8 2.41905623836901
"74" 500 2000 0.103352629040039 3.41528035991662 0.419030125 8 2.50000975494156
"75" 500 2000 0.0997084548104956 3.35210420841683 0.411422 7 2.51056350345713
"76" 500 2000 0.109377566102808 3.38233897513903 0.431511875 8 2.51653304315091
"77" 500 2000 0.100119632028382 3.39124649298597 0.435045 8 2.4428787399598
